YEAR,COMMUNITY.EXPECTATION,COMMUNITY.LEADERS,COUNTRY,DATAVIS.EDU,DATAVIS.EDU.METHOD,DATAVIS.TIME,EDU.BACKGROUND,EDU.MAJOR,EXPERIENCE.DATAVIS.YEARS,FREELANCE.OR.CONSULTANT,GENDER,JOB.DATASCI.HOURS,JOB.DATAVIS.AUDIENCE,JOB.DATAVIS.AUDIENCEDATAVISCONSUMPTION,JOB.DATAVIS.AUDIENCEDATAVISUSE,JOB.DATAVIS.AUDIENCEKNOWLEGE,JOB.DATAVIS.AUDIENCERELATIONSHIP,JOB.DATAVIS.CHARTSUSED,JOB.DATAVIS.EXPECTATIONS,JOB.DATAVIS.FATIGUE,JOB.DATAVIS.FOCUS,JOB.DATAVIS.GOALS,JOB.DATAVIS.HOURS,JOB.DATAVIS.INTENT,JOB.DATAVIS.LACKSKILLS,JOB.DATAVIS.LEADERSHIP.UNDERSTANDING,JOB.DATAVIS.NEWTOOLS,JOB.DATAVIS.ORGANIZATION,JOB.DATAVIS.PRESENTATION,JOB.DATAVIS.REACH,JOB.DATAVIS.RESOURCES,JOB.DATAVIS.TOOLCHOICE,JOB.DATAVIS.TOOLS,JOB.DATAVIS.USE,JOB.DESCRIPTION,JOB.DESIGN.HOURS,JOB.ENGINEERING.HOURS,JOB.IMPROVEMENT,JOB.PAY,JOB.PORTFOLIO.HOURS,JOB.PREPWORK.HOURS,JOB.SECTOR,LGBTQ,SPOKEN.LANGUAGE,REGION,TOTAL.HOURS,JOB.DESIGN.HOURS.PERC,JOB.DATASCI.HOURS.PERC,JOB.DATAVIS.HOURS.PERC,JOB.PREPWORK.HOURS.PERC,JOB.PORTFOLIO.HOURS.PERC,JOB.ENGINEERING.HOURS.PERC
2017,How to work together on projects.,Alberto Cairo,_,Mostly Self-Taught,NA,Same,MASTERS,NA,1,NA,MAN,NA,General Public;Scientists,Monthly,SUMMARIZATION;LEARNING,EXPERT,CONSULTATIVE,Line Chart;Bar Chart;Infographics;Network Diagram;Choropleth Map,NA,NA,DATA VISUALIZATION IS THE FOCUS OF MY JOB,NA,NA,HIRED TO DO DATA VISUALIZATION,NA,NA,NA,NA,Embedded in a tool;Scrollytelling;Static Web Page;Documents;Presentations,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,D3;ggplot,NA,NA,NA,NA,Work in a team.,NA,NA,NA,MIXED,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,Better resources to for sharing and tracking our work,Alberto Cairo,_,Equal Parts School and Self-Taught,NA,Same,BACHELORS,NA,4,NA,WOMAN,NA,General Public,Daily,ANALYSIS;SUMMARIZATION;LEARNING,INTRO,COLLABORATIVE,Line Chart;Bar Chart;Choropleth Map,NA,NA,DATA VISUALIZATION IS THE FOCUS OF MY JOB,Communication;News,NA,HIRED TO DO DATA VISUALIZATION,NA,NA,NA,BOTH,Scrollytelling;Static Web Page,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Illustrator;D3;Other Javascript;ggplot;React,General charting libraries;Completely custom,NA,NA,NA,Planning ahead,NA,NA,NA,PRIVATE SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,Share as many learnings as possible,Alberto Cairo,_,Mostly Self-Taught,NA,More,MASTERS,NA,4,NA,MAN,NA,General Public,Hourly,ENTERTAINMENT;SUMMARIZATION;LEARNING,MODERATE,COLLABORATIVE,Line Chart;Bar Chart;Pie Chart;Network Diagram;Choropleth Map,NA,NA,DATA VISUALIZATION IS AN IMPORTANT SECONDARY PART OF MY JOB BUT NOT THE FOCUS,Analysis;Summary/Overview;Communication;Exploration,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,EMBEDDED IN ANOTHER TEAM,Scrollytelling;Static Web Page;Interactive web page,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Illustrator;Excel;D3;Leaflet;Mapbox;Highcharts;ggplot;QGIS,ggplot2/Pandas Charts;General charting libraries;Completely custom,NA,NA,NA,More resource,NA,NA,NA,PRIVATE SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,NA,Alberto Cairo,_,Mostly Self-Taught,NA,Same,MASTERS,NA,10,NA,MAN,NA,General Public;Analysts;Engineers;Product Managers;Project Managers;Executives,Monthly,ANALYSIS;SUMMARIZATION;LEARNING,INTRO;MODERATE;EXPERT,COLLABORATIVE,Line Chart;Bar Chart;Infographics;Choropleth Map;dot plot;astor plot;custom viz,NA,NA,DATA VISUALIZATION IS THE FOCUS OF MY JOB,Analysis;Summary/Overview;Communication;Marketing;Exploration,NA,HIRED TO DO DATA VISUALIZATION,NA,NA,NA,SEPARATE DATA VISUALIZATION TEAM,Dashboard;Scrollytelling;Static Web Page;Documents;Presentations;print,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Illustrator;Excel;D3;Leaflet;Mapbox;Other Javascript,Completely custom,NA,NA,NA,A community of people to turn to for help- support- etc.,NA,NA,NA,PRIVATE SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,Confident come backs from intense meetings where leadership tried to overturn a wise visualization decision in favor of something worse (ex. a palette that isn't color blind friendly),Alberto Cairo,_,Mostly Self-Taught,NA,Much more,BACHELORS,NA,5,NA,MAN,NA,Analysts;Project Managers;Executives,Daily,ANALYSIS;SUMMARIZATION;LEARNING,MODERATE;EXPERT,CONSULTATIVE,Line Chart;Bar Chart;Pie Chart;Treemap;Network Diagram,NA,NA,DATA VISUALIZATION IS THE FOCUS OF MY JOB,Analysis;Summary/Overview;Communication;Exploration,NA,HIRED TO DO DATA VISUALIZATION,NA,NA,NA,EMBEDDED IN ANOTHER TEAM,Embedded in a tool;Dashboard,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Tableau;D3,Business Intelligence Tools,NA,NA,NA,More viz professionals to work with.,NA,NA,NA,PRIVATE SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,more on how to create specific data visualizations in various tools/apps/languages.   etl is also a blind area there should be a set group of learnings/skills for etl cwork.,Alberto Cairo,_,Equal Parts School and Self-Taught,NA,Much more,MASTERS,NA,7,NA,MAN,NA,Product Managers;Project Managers;Executives,Daily,SUMMARIZATION;LEARNING;RESEARCH;SALES,MODERATE;EXPERT,SUBORDINATE,Line Chart;Bar Chart,NA,NA,DATA VISUALIZATION IS ONE OF SEVERAL OTHER THINGS I DO IN MY JOB BUT NOT A PRIMARY OR SECONDARY PART OF MY ROLE,Analysis;Summary/Overview;Communication;Marketing;Exploration,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,BOTH,Static Web Page;Documents;Presentations;Email,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Excel;Tableau;Other R,Business Intelligence Tools,NA,NA,NA,add tableau licenses,NA,NA,NA,PRIVATE SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,data viz for mobile devices,Alberto Cairo,_,Equal Parts School and Self-Taught,NA,Much more,MASTERS,NA,3,NA,WOMAN,NA,General Public,Yearly,ANALYSIS,INTRO,CONSULTATIVE,Line Chart;Bar Chart;Infographics;Choropleth Map;Raster Map,NA,NA,DATA VISUALIZATION IS AN IMPORTANT SECONDARY PART OF MY JOB BUT NOT THE FOCUS,Communication;Marketing,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,SEPARATE DATA VISUALIZATION TEAM,Embedded in a tool;Static Web Page;Reports pdf,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Illustrator;Excel;D3;Leaflet;Mapbox;Other Javascript;QGIS,Completely custom,NA,NA,NA,have more time for doing the visualizations,NA,NA,NA,PRIVATE SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,Science based statements,Alberto Cairo,_,Mostly Self-Taught,NA,Much more,BACHELORS,NA,2,NA,MAN,NA,General Public;Analysts,Weekly,ANALYSIS;LEARNING;RESEARCH,INTRO,CONSULTATIVE,Line Chart;Bar Chart;Dendrogram;Choropleth Map;Slopegraph,NA,NA,DATA VISUALIZATION IS THE FOCUS OF MY JOB,NA,NA,HIRED TO DO DATA VISUALIZATION,NA,NA,NA,NA,Dashboard,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,D3;Processing;Leaflet;Mapbox;Other R;ArcGIS,NA,NA,NA,NA,User feedback,NA,NA,NA,PUBLIC SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,have them call the stakeholders to commit to use the data as presented and learn more about what it contains,Alberto Cairo;Andy Kirk,_,Mostly Self-Taught,NA,More,BACHELORS,NA,9,NA,MAN,NA,Analysts;Engineers;Executives,Weekly,ANALYSIS;SUMMARIZATION;RESEARCH,MODERATE;EXPERT,CONSULTATIVE,Line Chart;Bar Chart;Infographics,NA,NA,DATA VISUALIZATION IS AN IMPORTANT SECONDARY PART OF MY JOB BUT NOT THE FOCUS,Analysis;Communication;Exploration,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,EMBEDDED IN ANOTHER TEAM,Embedded in a tool;Dashboard;Scrollytelling;Documents;Presentations;Email,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Tableau;Power BI;Mapbox;Other R;Other Python,Business Intelligence Tools,NA,NA,NA,Increase data literacy in the company,NA,NA,NA,PRIVATE SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,"how to counteract the old wives tale that ""figures lie and liars figure""",Alberto Cairo;Andy Kirk,_,Mostly Self-Taught,NA,More,BACHELORS,NA,5,NA,WOMAN,NA,General Public;Analysts;Non-Profit Advocacy Groups,Weekly,ANALYSIS;LEARNING;RESEARCH,INTRO;MODERATE,COLLABORATIVE,Line Chart;Bar Chart;Pie Chart;Choropleth Map,NA,NA,DATA VISUALIZATION IS AN IMPORTANT SECONDARY PART OF MY JOB BUT NOT THE FOCUS,Analysis;Communication;Exploration,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,EMBEDDED IN ANOTHER TEAM,Embedded in a tool;Static Web Page;Documents;Presentations,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Excel;Tableau;D3;Mapbox;Other Javascript,Business Intelligence Tools;Completely custom,NA,NA,NA,more time,NA,NA,NA,NOT-FOR-PROFIT,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,NA,Alberto Cairo;Brian Boyer,_,Mostly Self-Taught,NA,More,BACHELORS,NA,10,NA,MAN,NA,General Public,Monthly,ENTERTAINMENT;ANALYSIS;SUMMARIZATION;LEARNING;RESEARCH,INTRO,CONSULTATIVE,Line Chart;Bar Chart;Infographics;Choropleth Map,NA,NA,DATA VISUALIZATION IS AN IMPORTANT SECONDARY PART OF MY JOB BUT NOT THE FOCUS,Analysis;Summary/Overview;Communication,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,BOTH,Scrollytelling;Static Web Page;Documents;Presentations;Email,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Excel;Tableau;Plotly;D3;Mapbox;Datawrapper;Internal Charting Tool,Business Intelligence Tools;ggplot2/Pandas Charts;General charting libraries;Completely custom,NA,NA,NA,Clearer strategy from my organisation,NA,NA,NA,PUBLIC SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,More advocacy for data visualization specialists to be taken seriously among other scientists. Climate scientists- biologists- and engineers are unlikely to listen to data visualizers on design- color- etc. We can bridge that gap to help convey data visualization as an evidence-based discipline.,Alberto Cairo;David McCandless,_,Equal Parts School and Self-Taught,NA,Same,MASTERS,NA,8,NA,MAN,NA,General Public;Analysts;Scientists,Daily,SUMMARIZATION;LEARNING;RESEARCH,MODERATE,COLLABORATIVE,Line Chart;Bar Chart;Choropleth Map;Raster Map,NA,NA,DATA VISUALIZATION IS THE FOCUS OF MY JOB,Analysis;Summary/Overview;Communication;Marketing,NA,HIRED TO DO DATA VISUALIZATION,NA,NA,NA,EMBEDDED IN ANOTHER TEAM,Static Web Page,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Illustrator;Excel;D3;Pandas;Other Python;QGIS,ggplot2/Pandas Charts;Completely custom,NA,NA,NA,NA,NA,NA,NA,PUBLIC SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,How to accomplish specific tasks,Alberto Cairo;Tufte,_,Mostly Self-Taught,NA,Same,BACHELORS,NA,4,NA,MAN,NA,General Public,Daily,ENTERTAINMENT;LEARNING,INTRO,CONSULTATIVE,Line Chart;Bar Chart;Pie Chart;Choropleth Map;Raster Map,NA,NA,DATA VISUALIZATION IS AN IMPORTANT SECONDARY PART OF MY JOB BUT NOT THE FOCUS,Analysis;Communication;Exploration,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,EMBEDDED IN ANOTHER TEAM,Embedded in a tool,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Excel;Tableau;D3;Other Javascript;ArcGIS;QGIS;Other GIS,Business Intelligence Tools;General charting libraries;Completely custom,NA,NA,NA,NA,NA,NA,NA,JOURNALISM,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,NA,Alberto Cairo;Tufte;Stephen Few;Robert Kosara,_,Mostly Self-Taught,NA,Same,MASTERS,NA,6,NA,MAN,NA,General Public;Analysts;Project Managers,Weekly,ANALYSIS;SUMMARIZATION;ADVOCACY,EXPERT,COLLABORATIVE,Line Chart;Bar Chart;Pie Chart;Infographics;Network Diagram;Choropleth Map;Flow Diagram;Slopegraph;Marimekko;parallel coordinates,NA,NA,DATA VISUALIZATION IS THE FOCUS OF MY JOB,NA,NA,HIRED TO DO DATA VISUALIZATION,NA,NA,NA,NA,Dashboard;Static Web Page;Documents;Presentations,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Illustrator;Excel;Tableau;InDesign,NA,NA,NA,NA,More collaborators.,NA,NA,NA,PRIVATE SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,More detailed guides about where to start with data science and visualization -- classes- books- software advice,Alberto Cairo;Enrico Bertini;Moritz Stefaner,_,Mostly Self-Taught,NA,Much more,BACHELORS,NA,10,NA,WOMAN,NA,General Public,Weekly,LEARNING,INTRO,SUBORDINATE,Line Chart;Bar Chart;Pie Chart;Infographics;Raster Map,NA,NA,DATA VISUALIZATION IS THE FOCUS OF MY JOB,Communication;Journalism,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,EMBEDDED IN ANOTHER TEAM,Dashboard;Static Web Page,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Illustrator;Excel;Tableau;Mapbox;QGIS;Datawrapper,Business Intelligence Tools;General charting libraries,NA,NA,NA,NA,NA,NA,NA,PRIVATE SECTOR,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
2017,Continue embracing R visualizations and data manipulation,Alberto Cairo;Hadley Wickham,_,Equal Parts School and Self-Taught,NA,Same,MASTERS,NA,7,NA,MAN,NA,Analysts;Engineers;Product Managers;Project Managers;Executives,Weekly,ANALYSIS;SUMMARIZATION,INTRO;MODERATE,SUBORDINATE,Line Chart;Bar Chart;Treemap;Choropleth Map,NA,NA,DATA VISUALIZATION IS AN IMPORTANT SECONDARY PART OF MY JOB BUT NOT THE FOCUS,Analysis;Machine Learning;Summary/Overview;Marketing;Exploration,NA,DATA VISUALIZATION IS ONLY PART OF MY JOB,NA,NA,NA,EMBEDDED IN ANOTHER TEAM,Embedded in a tool;Dashboard;Presentations;Email,NA,NA,I'M ABLE TO CHOOSE MY OWN TOOLS.,Excel;Power BI;ggplot,Business Intelligence Tools;ggplot2/Pandas Charts,NA,NA,NA,Having a team of analysts to learn from,NA,NA,NA,NOT-FOR-PROFIT,NA,NA,_,NA,NA,NA,NA,NA,NA,NA
